% 0 Vehicle HH,LILATracts_halfAnd10,Pedestrian Network Density,Walkability,Transit Frequency,Life Expectancy Predictions
0.398617512,0,18.94149509,14.16666667,86.8964308,71.41299999999998
0.0,0,16.57295822,8.5,-99999.0,79.76600000000002
0.293209877,1,11.68847319,11.5,22.92953913,73.11200000000004
0.038262668,0,9.184614946,10.0,0.6598468,80.31499999999996
0.270341207,1,13.44505153,12.83333333,64.3202157,75.95600000000002
0.117482517,1,10.64169438,13.0,19.07381491,73.62199999999997
0.0,0,14.64287203,5.5,-99999.0,79.38999999999999
0.331288344,1,3.430036348,13.66666667,46.26243304,70.34200000000004
0.0,0,0.959255885,8.0,-99999.0,79.15400000000004
0.151108126,0,9.290509939,13.16666667,77.4488672,77.14399999999999
0.232142857,1,4.018245416,12.66666667,457.0397947,71.92500000000005
0.021126761,0,17.36240047,10.0,-99999.0,79.936
0.144356955,1,14.56737507,15.0,16.3474819,76.186
0.019607843,0,24.0148608,11.83333333,15.76506474,80.15600000000003
0.037267081,0,19.45619424,18.16666667,59.27968515,79.79299999999998
0.024193548,0,10.30412257,10.83333333,-99999.0,80.40100000000001
0.019230769,1,18.40324427,12.5,-99999.0,73.88400000000003
0.318761384,0,9.851997939,9.166666667,5.279776493,73.26499999999999
0.0,0,11.57269463,8.166666667,-99999.0,81.19899999999998
0.140724947,1,21.35334937,11.33333333,19.21865644,73.59200000000003
0.485981308,1,18.86538677,12.83333333,169.5232524,70.75900000000003
0.088709677,1,17.09499266,15.0,48.21288726,74.78499999999998
0.110939908,1,19.53112502,14.33333333,4.834125195,74.903
0.021571649,0,19.10069707,6.5,-99999.0,80.32200000000003
0.057471264,0,22.8067445,7.833333333,-99999.0,79.23499999999994
0.006920415,0,13.23376961,9.833333333,0.481713613,81.81500000000004
0.157894737,0,14.74690556,17.33333333,22.92487306,76.43399999999998
0.0,0,16.12906918,10.66666667,-99999.0,80.01800000000007
0.0,0,13.55908262,11.66666667,83.18544258,80.196
0.13190184,1,17.34309361,9.5,-99999.0,76.86099999999998
0.006,0,13.92544141,7.666666667,-99999.0,80.68299999999996
0.340840841,1,14.73344414,10.0,124.9013848,72.23300000000002
0.016216216,0,0.816447023,2.833333333,-99999.0,77.14599999999992
0.269624573,1,7.34800033,14.33333333,206.9758878,71.92200000000001
0.084848485,0,20.36732646,9.333333333,-99999.0,77.58499999999994
0.011659193,0,6.689540166,8.0,-99999.0,80.66100000000007
0.438095238,1,9.215433015,9.166666667,9.893303408,70.20700000000002
0.494791667,0,17.02289736,17.33333333,185.5843552,69.35000000000002
0.165024631,1,17.18416897,14.0,36.07354582,73.384
0.054200542,1,16.86918107,14.5,3.053371891,72.93999999999998
0.437908497,1,11.25783484,13.0,218.3631072,69.68200000000006
0.0,0,14.96910856,11.16666667,2.052625982,79.84400000000008
0.101851852,1,20.63126494,13.16666667,266.6415089,73.60799999999996
0.006042296,0,4.434553589,5.166666667,-99999.0,79.58899999999996
0.448548813,1,20.18448278,17.83333333,61.0711078,74.95299999999999
0.0,0,10.0739897,6.666666667,-99999.0,79.96099999999998
0.058432935,0,18.30376285,8.666666667,-99999.0,79.23000000000002
0.114224138,1,13.79445057,12.66666667,10.34571889,73.31199999999998
0.049275362,0,13.23154162,11.33333333,22.28158202,78.04600000000003
0.076628352,0,20.2762204,11.16666667,11.03668256,77.75300000000004
0.0,0,27.22379928,17.33333333,70.94262589,79.72699999999995
0.0,0,12.02648336,10.66666667,-99999.0,80.52200000000002
0.024453024,0,8.492447152,7.5,-99999.0,80.22099999999999
0.020920502,0,14.85545474,7.0,-99999.0,79.59899999999998
0.239547038,1,6.683678263,13.5,53.01386754,74.18100000000004
