census_tract_number,Walkability,Total Population,% 0 Vehicle HH,% 1 Vehicle HH,% 2+ Vehicle HH,% Low Wage Workers,Population Density,Employment Density,Pedestrian Network Density,Transit Frequency,state_x,county_x,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,state_y,county_y,life_expectancy,obesity
40109108204,9.5,2245,0.126797386,0.39869281,0.474509804,0.290872618,8.592535754,2.392131335,11.32679945,-99999.0,Oklahoma,Oklahoma County,0,1,0,0,OK,Edmond,71.6,36.0
40109108206,6.0,1736,0.010245902,0.036885246,0.952868852,0.223662885,0.888335199,0.070616508,4.126053014,-99999.0,Oklahoma,Oklahoma County,0,0,0,0,OK,Edmond,80.2,28.0
40109108304,11.66666667,839,0.0,0.411214953,0.588785047,0.297297297,3.78980684,5.140405464,14.28327332,-99999.0,Oklahoma,Oklahoma County,0,0,0,0,OK,Edmond,74.9,29.6
40109108506,8.0,1929,0.020316027,0.430022573,0.5496614,0.214477212,6.662339542,0.338470334,14.884659,-99999.0,Oklahoma,Oklahoma County,0,0,0,0,OK,Oklahoma City,79.5,27.0
40109108507,11.0,1136,0.010835913,0.481424149,0.507739938,0.192567568,6.876465865,7.748130552,14.99146879,-99999.0,Oklahoma,Oklahoma County,0,0,0,0,OK,Oklahoma City,82.5,27.0
40109108513,9.333333333,498,0.0,0.243697479,0.756302521,0.237163814,5.013154608,1.338854544,19.58835162,-99999.0,Oklahoma,Oklahoma County,0,0,0,0,OK,Oklahoma City,80.9,29.4
40109108514,9.333333333,888,0.078085642,0.64231738,0.279596977,0.274350649,9.118764283,3.583838665,13.28352683,-99999.0,Oklahoma,Oklahoma County,0,0,0,0,OK,Oklahoma City,82.7,34.9
40109108525,6.166666667,603,0.025906736,0.093264249,0.880829016,0.225274725,10.10349631,0.100532302,20.71106899,-99999.0,Oklahoma,Oklahoma County,0,0,0,0,OK,Oklahoma City,75.5,29.6
40109107001,13.5,1604,0.012847966,0.436830835,0.550321199,0.261792453,2.654066272,0.976246322,7.247731133,2.107574375,Oklahoma,Oklahoma County,1,1,1,0,OK,Oklahoma City,73.2,40.1
40109107103,13.5,750,0.0,0.588709677,0.411290323,0.25443787,8.262825332,0.914419337,20.70238617,14.10188857,Oklahoma,Oklahoma County,0,1,0,0,OK,Oklahoma City,69.0,39.7
40109106909,12.33333333,1735,0.038109756,0.428353659,0.533536585,0.272378517,5.469487264,0.712451943,11.79587205,9.422019329,Oklahoma,Oklahoma County,0,1,0,0,OK,Oklahoma City,73.8,34.9
40109106910,15.5,1566,0.110743802,0.358677686,0.530578512,0.220779221,9.728978818,1.267376551,21.52571578,9.264274083,Oklahoma,Oklahoma County,0,0,0,0,OK,Oklahoma City,77.2,33.2
40109106911,6.5,1091,0.0,0.201511335,0.798488665,0.224867725,5.461831932,0.285356939,14.8293919,-99999.0,Oklahoma,Oklahoma County,0,0,0,0,OK,Oklahoma City,72.6,32.2
40109107104,8.5,2191,0.052401747,0.435225619,0.512372635,0.278033794,10.7741807,0.122936795,13.16442581,5.455987404,Oklahoma,Oklahoma County,1,1,1,1,OK,Oklahoma City,70.3,41.3
40109107207,11.33333333,1145,0.034090909,0.53219697,0.433712121,0.275665399,3.86643441,3.116785119,11.40087565,7.931424579,Oklahoma,Oklahoma County,0,1,0,0,OK,Oklahoma City,74.8,33.6
40109108107,7.833333333,2017,0.01193634,0.091511936,0.896551724,0.213953488,3.15115312,0.33745616,11.25707843,-99999.0,Oklahoma,Oklahoma County,0,0,0,0,OK,Edmond,81.3,26.0
40109108203,10.16666667,1522,0.048582996,0.299595142,0.651821862,0.232335329,9.038641857,1.561867811,15.61778703,-99999.0,Oklahoma,Oklahoma County,0,1,0,0,OK,Edmond,79.3,31.6
40109108208,10.66666667,1460,0.090289608,0.471890971,0.437819421,0.32046332,7.733801211,1.742753834,16.09403042,-99999.0,Oklahoma,Oklahoma County,0,1,0,1,OK,Edmond,75.1,27.7
40109108307,10.5,1191,0.0,0.125668449,0.874331551,0.256756757,8.437495676,2.167820048,22.74990656,-99999.0,Oklahoma,Oklahoma County,0,0,0,0,OK,Oklahoma City,77.9,33.7
40109108216,8.5,3334,0.018250951,0.298859316,0.682889734,0.221153846,5.140283075,1.523275248,11.18255191,-99999.0,Oklahoma,Oklahoma County,0,0,0,0,OK,Edmond,79.3,28.7
40109108515,5.0,2187,0.040540541,0.457002457,0.502457002,0.226821192,20.54954329,0.357056536,12.57079274,-99999.0,Oklahoma,Oklahoma County,0,0,0,0,OK,Oklahoma City,76.9,28.3
40109106705,14.83333333,859,0.0,0.42159383,0.57840617,0.214007782,6.615045297,2.633696731,16.27679583,9.85711057,Oklahoma,Oklahoma County,0,0,0,0,OK,Oklahoma City,77.4,31.0
