% 0 Vehicle HH,LILATracts_halfAnd10,Employment Density,Pedestrian Network Density,Walkability,Transit Frequency,Rate of Obesity Predictions
0.398617512,0,1.61533759,18.94149509,14.16666667,86.8964308,42.526
0.0,0,2.202505238,16.57295822,8.5,-99999.0,28.701000000000008
0.293209877,1,2.011020547,11.68847319,11.5,22.92953913,41.120999999999974
0.038262668,0,1.524936835,9.184614946,10.0,0.6598468,28.784499999999994
0.270341207,1,16.9873868,13.44505153,12.83333333,64.3202157,37.76100000000001
0.117482517,1,0.605814807,10.64169438,13.0,19.07381491,40.22600000000003
0.0,0,0.197478544,14.64287203,5.5,-99999.0,30.177999999999997
0.331288344,1,1.135831215,3.430036348,13.66666667,46.26243304,45.352
0.0,0,0.066951527,0.959255885,8.0,-99999.0,30.303999999999995
0.151108126,0,1.787006674,9.290509939,13.16666667,77.4488672,34.43149999999999
0.232142857,1,0.11902078,4.018245416,12.66666667,457.0397947,44.20900000000002
0.021126761,0,1.946247927,17.36240047,10.0,-99999.0,26.904166666666686
0.144356955,1,9.482679616,14.56737507,15.0,16.3474819,33.832999999999984
0.019607843,0,26.30330008,24.0148608,11.83333333,15.76506474,29.446250000000013
0.037267081,0,6.113217531,19.45619424,18.16666667,59.27968515,29.44600000000001
0.024193548,0,12.89262934,10.30412257,10.83333333,-99999.0,25.868999999999996
0.019230769,1,1.298766905,18.40324427,12.5,-99999.0,35.63900000000002
0.318761384,0,0.511478358,9.851997939,9.166666667,5.279776493,40.06099999999998
0.0,0,0.967098377,11.57269463,8.166666667,-99999.0,27.59299999999998
0.140724947,1,0.06606413,21.35334937,11.33333333,19.21865644,42.03500000000002
0.485981308,1,0.735879332,18.86538677,12.83333333,169.5232524,47.72100000000003
0.088709677,1,2.67430859,17.09499266,15.0,48.21288726,36.346
0.110939908,1,2.896744248,19.53112502,14.33333333,4.834125195,37.17099999999998
0.021571649,0,0.121694043,19.10069707,6.5,-99999.0,30.10399999999998
0.057471264,0,0.519270186,22.8067445,7.833333333,-99999.0,28.750000000000004
0.006920415,0,1.73729164,13.23376961,9.833333333,0.481713613,28.04275
0.157894737,0,5.826738569,14.74690556,17.33333333,22.92487306,32.41000000000001
0.0,0,1.988038688,16.12906918,10.66666667,-99999.0,28.978666666666676
0.0,0,0.199695874,13.55908262,11.66666667,83.18544258,29.35499999999999
0.13190184,1,4.022939259,17.34309361,9.5,-99999.0,33.90299999999997
0.006,0,3.708324311,13.92544141,7.666666667,-99999.0,29.09133333333333
0.340840841,1,0.056239933,14.73344414,10.0,124.9013848,44.80099999999999
0.016216216,0,0.002273363,0.816447023,2.833333333,-99999.0,32.82524999999999
0.269624573,1,0.619849664,7.34800033,14.33333333,206.9758878,43.07899999999999
0.084848485,0,0.585055305,20.36732646,9.333333333,-99999.0,32.58099999999999
0.011659193,0,0.802891395,6.689540166,8.0,-99999.0,30.030333333333328
0.438095238,1,0.24030692,9.215433015,9.166666667,9.893303408,43.863999999999976
0.494791667,0,1.756579246,17.02289736,17.33333333,185.5843552,44.653999999999996
0.165024631,1,2.3316139,17.18416897,14.0,36.07354582,36.12400000000001
0.054200542,1,1.328483265,16.86918107,14.5,3.053371891,40.362
0.437908497,1,2.434907044,11.25783484,13.0,218.3631072,45.38400000000001
0.0,0,0.459315008,14.96910856,11.16666667,2.052625982,29.584999999999994
0.101851852,1,1.701228377,20.63126494,13.16666667,266.6415089,37.11499999999999
0.006042296,0,0.222914706,4.434553589,5.166666667,-99999.0,30.39916666666665
0.448548813,1,24.24876055,20.18448278,17.83333333,61.0711078,39.69500000000002
0.0,0,0.173185436,10.0739897,6.666666667,-99999.0,27.624000000000002
0.058432935,0,0.543406419,18.30376285,8.666666667,-99999.0,32.491000000000014
0.114224138,1,1.371558781,13.79445057,12.66666667,10.34571889,38.36099999999999
0.049275362,0,0.800744354,13.23154162,11.33333333,22.28158202,29.504
0.076628352,0,0.327651511,20.2762204,11.16666667,11.03668256,30.53400000000001
0.0,0,9.020451935,27.22379928,17.33333333,70.94262589,27.432166666666667
0.0,0,2.587962339,12.02648336,10.66666667,-99999.0,27.752583333333327
0.024453024,0,0.990101724,8.492447152,7.5,-99999.0,26.292666666666666
0.020920502,0,0.3327208,14.85545474,7.0,-99999.0,29.548999999999996
0.239547038,1,3.101492707,6.683678263,13.5,53.01386754,37.852999999999994
0.079575597,0,1.193409512,21.21670104,13.0,22.86772718,30.49600000000001
0.004154303,0,0.294751257,8.585197356,8.666666667,-99999.0,28.913749999999986
0.012160229,0,0.069939433,9.759775105,6.5,-99999.0,29.133000000000006
0.509433962,1,1.462579422,15.69111108,15.83333333,34.34689658,45.521
0.502183406,0,5.580413688,23.33875671,19.83333333,83.75546083,43.49099999999999
0.0,0,3.074430108,17.32552254,10.33333333,-99999.0,29.061
0.246268657,0,1.93612333,10.10871361,14.16666667,104.3719407,40.326000000000015
0.1,0,0.739609369,17.38330806,11.33333333,52.94812375,31.852000000000007
0.024489796,0,1.594315478,26.22913321,14.83333333,22.18178056,28.42800000000001
0.116883117,0,7.013774526,10.50607434,8.333333333,-99999.0,29.113499999999984
0.013953488,0,0.073682826,7.603851656,4.666666667,-99999.0,26.95991666666667
0.0,0,0.012202534,18.6875064,11.16666667,12.29106797,32.225
0.509433962,1,2.562330351,17.4169789,13.5,209.9061024,47.70000000000001
0.167346939,1,1.331790577,11.99655639,14.83333333,34.16885169,42.992
0.071721311,0,0.267261905,10.44267545,6.5,-99999.0,28.981999999999992
0.669172932,0,0.095437052,13.32287244,11.5,495.3564737,47.030999999999985
0.0,0,0.462645908,18.52206788,12.0,2.226949335,29.918333333333322
0.0,0,0.348345647,15.01135369,6.833333333,-99999.0,32.29199999999999
0.485380117,0,0.563645041,34.21844955,13.16666667,154.5997828,47.575
0.016911437,0,1.019120552,10.02116062,9.666666667,-99999.0,28.78199999999999
0.014869888,0,0.348754271,16.1236064,7.333333333,-99999.0,30.508999999999986
0.16713881,0,4.351673147,22.05633091,17.0,9.333867481,34.50499999999999
0.13225058,1,0.61894484,25.23334394,9.333333333,-99999.0,32.99400000000001
0.446153846,0,1.550913028,21.15100752,15.0,49.01650761,41.22899999999998
0.010638298,1,1.093395063,9.212039009,11.16666667,2.572694266,39.013000000000005
0.110315186,1,5.418667361,19.25318072,13.5,17.21159311,35.169000000000004
0.0,0,13.34229225,18.00095492,16.33333333,5.444582579,28.387666666666675
0.037931034,0,1.571047834,23.59558925,14.16666667,30.20796524,30.32100000000001
0.083657588,1,1.39295978,6.697759609,13.0,1.018850582,42.89499999999998
0.111111111,0,1.320248004,6.348586821,12.83333333,1.242586357,30.718333333333344
0.264604811,1,0.159869817,13.1780536,10.16666667,4.252537142,40.824000000000005
0.057026477,0,8.225426862,5.777570059,7.833333333,-99999.0,28.340999999999994
0.0,0,1.160224523,19.21847561,9.333333333,-99999.0,27.126166666666663
0.093283582,1,0.400407592,24.00736902,12.5,-99999.0,34.72099999999999
0.026192075,0,1.394243931,7.887272585,7.5,-99999.0,29.997999999999998
